company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;light_struct;dry_sweet;flat_acidic;notes
Malvirà;Renesio Roero Arneis;3.8;49;12.72;Pasta / Seafood / Hard and aged cheese;Italy;Roero;Arneis;2019.0;59.0;24.0;49.0;herbaceous/citrus/fruit tree
La Stoppa;Ageno;4.2;260;26.49;Pasta / Seafood / Hard and aged cheese;Italy;Emilia;Malvasia;2019.0;68.0;23.0;53.0;citrus/herbaceous/fruit tree
Marco de Bartoli;Pietranera;4.1;211;23.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Zibibbo;2019.0;57.0;8.0;37.0;herbaceous/citrus/fruit tree
Cottanera;Etna Calderara Bianco;3.9;289;20.48;na / na / na;Italy;Etna;Carricante;2017.0;;;;
Tenuta di Tavignano;Misco Verdicchio dei Castelli di Jesi Classico Superiore;3.8;81;15.5;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2019.0;45.0;21.0;66.0;citrus/fruit tree/herbaceous
Montindon;Lugana;4.2;47;13.68;na / na / na;Italy;Lugana;Trebbiano;2020.0;;;;
Bastianich;Vespa Bianco;3.9;441;23.88;Pasta / Seafood / Hard and aged cheese;Italy;Colli Orientali del Friuli;Chardonnay;2016.0;67.0;28.0;48.0;herbaceous/fruit tree/wood
Favaro;Le Chiusure Erbaluce di Caluso;3.9;47;20.0;Pasta / Seafood / Hard and aged cheese;Italy;Erbaluce di Caluso;Erbaluce;2020.0;62.0;22.0;55.0;herbaceous/citrus/fruit tree
La Scolca;Gavi Villa Scolca;3.7;180;11.9;Pasta / Seafood / Appetizers and snacks;Italy;Gavi;Cortese;2019.0;18.0;0.0;75.0;citrus/fruit tree/herbaceous
Cavit;Maso Toresella Cuvée Vigneti delle Dolomiti;4.0;57;21.0;Pasta / Seafood / Hard and aged cheese;Italy;Trentino-Alto Adige;Miscela;2017.0;52.0;35.0;46.0;herbaceous/fruit tree/tropical note
Bellutti;Plon Gewürztraminer;3.9;32;26.18;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2018.0;68.0;40.0;30.0;yeasts/tropical note/citrus
Colterenzio (Schreckbichl);Lafóa Chardonnay;4.3;411;24.5;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Chardonnay;2019.0;65.0;26.0;47.0;wood/fruit tree/tropical note
