winemaker;latitude;longitude
Abbona;44.554756;7.952466
Bigi;42.766045;12.055044
Quintarelli Giuseppe;45.51996;10.947095
Tenuta Moraia;42.96618;11.424479
Villa Sparina;44.710922;8.823876
Cabreo;43.62445;11.283494
Castel Sallegg;46.414585;11.239765
I Stefanini;45.706783;11.547768
Ornella Molon;45.702755;12.533025
Maculan;45.708714;11.558921
Feudi del Pisciotto;37.114353;14.413054
Nino Negri;46.17107;9.990381
Terenzi;42.688705;11.334761
Damilano;44.65463;8.028054
Tenuta San Francesco;40.711647;14.634175
Ampeleia;45.1189;9.83697
Assuli;37.789536;12.641265
Sergio Mottura;42.856853;13.642949
Nanni Copé;41.158054;14.413889
Villabella;44.8773;8.185049
Cantina Roccafiore;42.78255;12.450943
Tenimenti d’Alessandro;41.89735;12.538001
Cantele;40.352764;18.188934
Negretti;44.64866;7.899592
Saracco;45.230152;11.468674
Fazi Battaglia;43.48159;13.082891
Fontaleoni;43.50301;11.054096
Gurra di Mare;37.342964;13.588602
Sportoletti;44.80479;10.338966
Cantine Leonardo da Vinci;43.752033;10.908313
Giovanni Rosso;27.51639;41.696945
La Stoppa;44.902874;9.634253
Bastianich;46.076385;13.447463
Baglio del Cristo di Campobello;37.231228;13.912173
Carussin;49.114307;0.99009
Massolino;44.60997;7.999955
Tua Rita;43.064133;10.68916
Ottella;45.431797;10.658924
Corzano e Paterno;43.625896;11.153031
Torre Mora;15.0;37.0
di Lenardo;45.89937;13.275073
Tenute Dettori;40.82724;8.65811
Rocca di Frassinello;42.907288;10.99165
La Monacesca;42.719883;11.189456
Tenuta Iuzzolini;39.341686;17.104647
Terre del Principe;41.09585;14.36808
Marchesi di Gresy;44.725048;8.080868
La Guardiense;41.25497;14.60812
Teruzzi & Puthod;43.46543;11.048549
Tenuta Rapitalà;37.898243;13.094969
Ronco del Gelso;45.94845;13.476435
Val delle Rose;42.960323;10.686578
Li Veli;40.429905;17.99541
Coroncino;43.444492;13.173334
Cascina Chicco;44.79199;7.985243
Petra;41.640377;13.772904
Avignonesi;43.178677;11.946745
Antica Cascina dei Conti di Roero;44.77404;7.985896
Paolo Scavino;44.640526;7.972615
Specogna;46.01798;13.43612
Vagnoni;43.567116;10.9807
Prunotto;44.68551;8.009502
Cantina Valpantena;45.497444;11.016124
Antonio Camillo;42.664707;11.142118
Tenuta di Nozzole;43.62445;11.283494
Cantina Colomba Bianca;37.653458;12.611528
Rivetti Massimo;44.723892;8.129066
Brezza;44.61304;7.942524
Gianni Gagliardo;44.651665;7.960441
Azienda Agricola di Meo;44.807716;10.34567
Talamonti;44.8773;8.185049
Silvio Carta;45.1387;10.733755
Markus Prackwieser Gump Hof;46.50384;11.500021
Podernuovo a Palazzone;42.894672;11.931539
Paolo Bea;42.87708;12.635302
Montecappone;43.505875;12.989615
Tenuta Santa Caterina;45.038597;8.31356
Endrizzi;46.20468;11.143592
Ettore Germano;44.639057;7.964984
Cantina Toblino;46.04474;10.952511
Kössler;44.8773;8.185049
Capanna;43.06059;11.488983
Castello di Monsanto;43.49547;11.193263
Castello di Verduno;44.666924;7.933258
La Tosa;44.8773;8.185049
Boffa;44.72716;8.081023
Conte d'Attimis Maniago;46.01055;13.340048
Terre del Marchesato;43.50854;10.327374
Depperu;40.935184;9.17395
Enzo Boglietti;44.636597;7.931873
Russolo Rino;46.225918;13.103365
Muri-Gries;46.503185;11.334315
Bucci;39.28533;16.334518
Villa Rinaldi;42.905098;12.056426
Castello Monaci;45.14572;7.710914
Col d'Orcia;42.96716;11.437819
Rivera;41.03124;14.494156
Gorgo;16.033333;12.583333
Ricasoli;43.415768;11.458574
Vigneti Reale;40.48048;17.965862
Villa Diamante;40.96542;14.83145
Alberto Longo;15.287356;41.51464
Monteraponi;44.8773;8.185049
Graci;37.64701;15.023712
Castello di Tassarolo;44.7271;8.77005
La Crotta di Vegneron;45.744247;7.547678
Pio Cesare;44.701885;8.038346
Schola Sarmenti;40.17976;18.0391
Librandi;39.367634;17.109367
Mamete Prevostini;46.3123;9.382729
Petrolo;43.47144;11.572536
Produttori Vini Manduria;40.405464;17.636694
Bruno Verdi;45.044918;9.275174
Le Strette;44.589695;7.927298
Ciù Ciù;43.505875;12.989615
